2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:24 INFO     [27, 1, 0.5195504426956177]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [28, 1, 20.370250701904297]
2025-02-26 22:15:24 INFO     [28, 1, 2.0132875442504883]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [29, 1, 3.2455832958221436]
2025-02-26 22:15:24 INFO     [29, 1, 7.430468559265137]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [30, 1, 3.2458608150482178]
2025-02-26 22:15:24 INFO     [30, 1, 3.338499069213867]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [31, 1, 1.4914262294769287]
2025-02-26 22:15:24 INFO     [31, 1, 1.5895764827728271]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [32, 1, 0.8096640706062317]
2025-02-26 22:15:24 INFO     [32, 1, 0.8673798441886902]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [33, 1, 0.4189220666885376]
2025-02-26 22:15:24 INFO     [33, 1, 0.6228481531143188]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [34, 1, 0.35774651169776917]
2025-02-26 22:15:24 INFO     [34, 1, 0.43861332535743713]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     Best model saved at epoch 34 with loss 0.0645
2025-02-26 22:15:24 INFO     [35, 1, 0.2996191382408142]
2025-02-26 22:15:24 INFO     [35, 1, 0.38168787956237793]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     Best model saved at epoch 35 with loss 0.0540
2025-02-26 22:15:24 INFO     [36, 1, 0.3162690997123718]
2025-02-26 22:15:24 INFO     [36, 1, 0.35730403661727905]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
2025-02-26 22:15:24 INFO     [37, 1, 0.21472835540771484]
2025-02-26 22:15:24 INFO     [37, 1, 0.34179165959358215]
2025-02-26 22:15:25 INFO     Update learning rate: 0.0095
2025-02-26 22:15:25 INFO     Best model saved at epoch 37 with loss 0.0472
2025-02-26 22:15:25 INFO     [38, 1, 10.241758346557617]
2025-02-26 22:15:25 INFO     [38, 1, 0.2835412323474884]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     Best model saved at epoch 38 with loss 0.0439
2025-02-26 22:15:25 INFO     [39, 1, 0.3783995509147644]
2025-02-26 22:15:25 INFO     [39, 1, 0.33160439133644104]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [40, 1, 0.4073207676410675]
2025-02-26 22:15:25 INFO     [40, 1, 0.3281787037849426]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [41, 1, 0.3970746695995331]
2025-02-26 22:15:25 INFO     [41, 1, 0.36197635531425476]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [42, 1, 0.21957339346408844]
2025-02-26 22:15:25 INFO     [42, 1, 0.34299758076667786]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [43, 1, 0.7689406871795654]
2025-02-26 22:15:25 INFO     [43, 1, 0.3426476716995239]
